,Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Scientist,"Position Description The data scientist will work in teams addressing statistical, Machine Learning and data understanding problems. In this role they will contribute to the development and deployment of Machine Learning, Operational Research, Semantic Analysis and statistical methods for finding structure in large data sets. Key responsibilities • Analysis of huge data set • Application of statistical methods for problem solving /analysis • Predictive modelling and supervise learning • Operational Research • Development of Unit Tests Other Responsibilities Analytical skills for problem solvingCommunication - Communicates clearly and concisely on a routine basis (verbally and in writing)Collaboration & Team Work - Works collaboratively with other members of the team by sharing ideas and informationExcellence in Execution - Works hard to meets the goals/ targets given, and is motivated by opportunities for reward and recognitionInnovation - Explores alternative approaches to achieving objectivesLearning & Applying - Focusses on learning and development as per the feedback provided for enhancing one's own performance",3.4,"UnitedHealth Group
3.4",Bengaluru,"Minnetonka, MN",10000+ employees,1977,Company - Public,Healthcare Services & Hospitals,Healthcare,₹500+ billion (INR)
1,Data Scientist,"If you are a data junkie who would like to wrangle through huge data sets of usage, stats, clickstreams, free text feedbacks and more to predict the user experience, adoption and retention. You like to solve complex and challenging problems and articulate the results in a lucid manner. Then we’ve got the problem for you and the data to solve it.

In your role as data scientist you will :
Select features, building and optimizing classifiers using machine learning techniques
Build statistical/machine learning models to extract insights
Create automated anomaly detection systems and constant tracking of its performance
Collaborate with subject matter experts to determine relevant data sources
Communicate the insights/recommendations to a wide spectrum of stake holder
Act as a mentor to guide/train less experienced folks
Desired Skills and experience:
B.E/Masters in Computer science/Statistics or equivalent
At least 5 years of experience in predictive modelling, strong knowledge of machine learning algorithms.
Strong in R,Python (numpy, scipy etc)
Very strong SQL and data visualization
Exposure to Big Data platforms such as Spark, Mahout, Scala, AWS machine learning is a plus
Great communications skills
Verizon recently acquired BlueJeans and plans to integrate BlueJeans employees into Verizon, including its compensation and benefits programs, in due course. This position will be part of that planned integration.",3.0,"BlueJeans
3.0",Bengaluru,"San Jose, CA",201 to 500 employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
2,Data Scientist,"Position: Data Scientist

Location: Pune, India

NICE Actimize is comprised of talented, creative and dedicated individuals with a passion for delivering innovative solutions to the market. At NICE Actimize, we recognize that every employee’s contributions are integral to our company’s growth and success. To find and acquire the best and brightest talent around the globe, we offer a challenging work environment, competitive compensation and benefits, and rewarding career opportunities. Come share, grow and learn with us – you’ll be challenged, you’ll have fun and you’ll be part of a fast growing, highly respected organization.

NICE Actimize is currently seeking an experienced Data Scientist to join our dynamic and growing Fraud & AML Analytics Services team.

Responsibilities
Perform analysis to support the deployment of fraud prevention analytical models
Analyze fraud cases obtained from clients
Research data patterns in order to find patterns predictive of fraud
Improve the quality and actual implementation of computational algorithms and tools
Optimize the detection performance of NICE Actimize Fraud products and improve customers’ experience with our Fraud solutions
Define product requirements for analytics and provide feedback to the product team on ways in which product may be improved
Develop and enhance our solution-specific risk scores
Measure the quality of the analytical performance of Fraud Products
Develop tools to support model tuning, performance tracking and automation
Develop custom detection logic for specific clients
Help maintain and improve model development methodologies/practices.
Experience: 3 to 6 Years

Qualifications:
Advanced degree in a quantitative area (statistics, mathematics, physics, computer science, engineering)
Strong general analytical skills, Experience with statistical model development. Deep and diverse experience with multiple statistical procedures and data mining algorithms.
Strong experience with using SQL and EXCEL.
Strong programming skills in Python and ability to rapidly learn new programming tools.
Exposure to other programming languages: R, SAS, Scala, Java, Python, Matlab, SPSS, VBA, including procedures, macros, and scripting.
Experience of building and deploying classification and regression machine learning models at an enterprise level.
Good oral and written communications skills, and ability to interact with engineers, software developers, project managers, business analysts, product managers and with clients.
Ability to work in multi-disciplinary agile teams.
Strong commitment to quality
Customer facing experience – a plus
Innovative aptitude.
Additional Desired Qualifications:
Experience in development of risk management models, particularly in the fraud, AML, or financial trade compliance areas.
Knowledge of national and international financial systems and data standards.
Experience with Business Intelligence platforms, methodologies (e.g. OLAP), and tools.",3.9,"NICE Actimize
3.9",Pune,"Hoboken, NJ",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
3,Data Scientist,"What you’ll be doing...

As a Data Scientist on the SOI team, you will primarily develop machine learning solutions that will predict a customer’s needs/intentions at the moment of interaction. The outputs of these models will then be used to determine the optimal engagement and experience to provide to the customer.
Partner with functional and channel stakeholders to define use cases and model targets.
Work with domain experts to understand data sources and complete feature engineering.
Design and execute experiments with training data sets to determine the best models to apply and perform cross validation to test the efficiency of the resulting algorithms.
When algorithms reach adequate efficiency thresholds, you will partner with production engineers to deploy your models for run-time scoring.
Your role will be multi-faceted. In addition to model development, you will take an active role in setting the machine learning vision and roadmap and in establishing new methodologies and best practices for the data science team.
The key to your success will be your ability to fully immerse yourself in the business problems you are solving and act independently to move projects to completion with minimal day to day oversight.
You will be a hands-on data scientist responsible for the entire end to end process of model development, implementation, and maintenance of business-changing models and algorithms.
What we’re looking for...

You are an experienced data scientist and an expert in your field. You regularly process and analyze big data. You experiment quickly to test hypotheses and make definitive decisions based on the results. You proactively research emerging developments in machine learning and apply what you learn to the projects at hand. You are a strong communicator, able to summarize and frame your results to influence peers, stakeholders, and partner groups. You take great pleasure in sharing learnings and best practices with your team.

You'll need to have:
Bachelor’s degree in a Statistical, Mathematical, Computer Science, or Engineering discipline or four or more years of work experience.
Four or more years of relevant work experience.
Experience in Python, SQL, and Linux Shell/equivalent, and with HDFS.
Experience leading the end-to-end design, development, and deployment of predictive modeling solutions.
Knowledge of NLP including NER and Text Summarization.
Knowledge of deep neural networks, including CNN and RNN.
Experience with text parsing/Regular Expressions.
Even better if you have:
Masters/PhD in Statistics, Math, Economics, Engineering, Computer Science, Business Analytics, Data Science, or a related field.
Six or more years of relevant work experience.
Deep expertise in applying machine learning to solve a class of AI problems such as NLU/NLP, Reinforcement Learning, Voice Biometrics, Text Mining, and Intelligent Process Automation.
Experience with using big data to develop models.
Experience with Spark.
Strong problem solving, analytical, and research capabilities.
Strong verbal and written communication skills.
Experience presenting to and influencing functional leaders and stakeholders.
When you join Verizon...

You’ll have the power to go beyond – doing the work that’s transforming how people, businesses and things connect with each other. Not only do we provide the fastest and most reliable network for our customers, but we were first to 5G - a quantum leap in connectivity. Our connected solutions are making communities stronger and enabling energy efficiency. Here, you’ll have the ability to make an impact and create positive change. Whether you think in code, words, pictures or numbers, join our team of the best and brightest. We offer great pay, amazing benefits and opportunity to learn and grow in every role. Together we’ll go far.

]]>",3.7,"Verizon
3.7",Chennai,"New York, NY",10000+ employees,2000,Company - Public,Telecommunications Services,Telecommunications,₹500+ billion (INR)
4,Data Scientist,"Amazon strives to be Earth's most customer-centric company where people can find and discover anything they want to buy online. We hire the world's brightest minds, offering them a fast paced, technologically sophisticated, and friendly work environment.

The FinAuto Data Engineering and Analytics team, part of Finance Automation Org focuses on the application of machine learning methods designed to enable Amazon to increase free cash flow by optimizing spend, expense, payroll defects. All of this work is performed in close coordination with senior business leaders. These are exciting fast-paced businesses in which we get to work on extremely interesting analytical problems, in an environment where you get to learn from other data engineers and apply econometric, statistics, and machine learning at massive scale.
As a member of the FinAuto Data Engineering and Analytics team, you will partner closely with a team of stake holders, payment teams, data engineers and software engineers.
In this role you will:
· Work with data engineers to design and implement machine learning applications and solutions.
· Implement and maintain a high-volume, highly available, hybrid (SQL + No SQL) data processing solutions that consists of structured and semi-structured data.
· Design and implement a very large distributed data warehousing and reporting solution and integrate it with business intelligence tools



Basic Qualifications

· 5+ years of experience in software development of large-scale data infrastructure and distributed systems
· 5+ years of experience in data extraction, transformation, statistical analysis and data modeling
· 5+ years of experience developing enterprise software using Java or Python
· 3+ years of experience in applying Data Mining and Machine Learning techniques to solve business problems
· 3+ years of experience using major RDBMS, Hadoop, Spark, Elasticsearch, or similar technologies
· 3+ years of experience with statistical modeling tools such as R, SAS, SciKit-learn, or TensorFlow
· Bachelors degree in Computer Science, Computer Engineering, Machine Learning, or related field or equivalent experience.

Preferred Qualifications

· Masters degree in Computer Science, Computer Engineering, Machine Learning, or related field; PhD a plus
· Deep expertise in Statistics, Machine Learning or related disciplines
· Advanced knowledge in performance, scalability, numerical accuracy, enterprise system architecture, best practices.
· Experience building solutions using AWS big data and machine learning services
· Ability to communicate complex technical concepts and solutions to all levels of the organization",4.3,"Amazon
4.3",Hyderabad,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR)
5,Data Scientist,"Provide analytical insights into emerging problems, trends and portfolios
Work closely with business partners and stakeholders to determine how to design analysis and measurement approaches that will significantly improve our ability to understand and address emerging business issues
Bringing data to life and making it actionable and relevant to stakeholders through exploratory analysis of internal and external data sources using advanced and innovative analytical techniques, algorithms, and tools
Identifying present or future gaps in the teams existing reporting and tools suite and managing portfolio monitoring, dashboards and reporting
Providing regular updates to leadership, product and other stakeholders that will simplify and clarify complex concepts and the results of analyses effectively with emphasis on the actionable outcomes and impact to business
Experience with standard statistical techniques and tools a plus
Required Qualifications
Bachelor's Degree in a quantitative discipline (Economics, Engineering, Computer Science, Math, Statistics)
1-2 years experience in analytics or management consulting
Proficiency using SQL and querying relational databases
Experience in at least one statistical programming language (SAS, R, Python)
Experience in at least one data visualization tool (Tableau, Qlikview)
Experience with project management
Preferred Skills:
Strong communication skills
Quick learning
Out-of-box Problem Solving",3.6,"PayPal
3.6",Bengaluru,"San Jose, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,₹500+ billion (INR)
6,Data Scientist,"Overview


We have an exciting opportunity for a Data Scientist to join our dynamic AI Development team. This permanent position is well suited to an individual that is looking to advance their career in Python / R / Java Programming and gain hands-on experience in a thriving and supportive workplace.

Responsibilities


Objectives: 
Primary focus on applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.
Ability to manage time and follow guidelines and processes.
Procedures: 
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
 Selecting features, building and optimizing classifiers using machine learning techniques
 Once the data source has been identified, mine and analyse data to drive optimization and improvement of product development, marketing techniques and business strategies.
 Enhancing data collection procedures to include information that is relevant for building analytic systems
 Design and review data collection procedures for regulatory compliance.
 Develop custom data models and algorithms to apply to data sets.
 Present information using data visualization techniques
 Propose solutions and strategies to business challenges
 Collaborate with SAS programming and Statistics teams
 Develop company A/B testing framework and test model quality.
 Develop processes and tools to monitor and analyse model performance and data accuracy.
 Raise awareness with other team on Data Science techniques and approaches.
 Have a good understanding of ICH/GCP guidelines.
 Follow appropriate Project Management procedures.
 Communicate effectively with project team.
Key Contacts/Relationships (Internal & External):

Internal:Work closely with other project team members, mentor and line manager.

External:Under supervision, may have limited interaction with internal clients to complete various programming activities. To fulfil this role, the Data Scientist supported by AI team members, may be required to participate in project team meetings and be responsive on an ad-hoc basis.

Qualifications
Qualified to degree level or equivalent, preferably in a numerate discipline
Good knowledge on statistics.
5 years of experience on Programming / Data Science Industry and minimum 2 year as Data Scientist",3.8,"Quanticate
3.8",Bengaluru,"Hitchin, United Kingdom",201 to 500 employees,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,₹1 to ₹5 billion (INR)
7,Data Scientist,"1. 8+ years of IT experience and at least 2+ years of data science expereince
2. Should have experience in building Machine Learning/Deep Learning Models.
3. Should be Strong in python
4. Should have experience in using Pandas/Numpy/ScikitLearn, Tensorflow and keras
5. Should have experience in feature engineering, hyper parameter tuning, model evaluation etc..
6. Should have experience in building models that are explainable
7. Should have solid experience in using regressive/auto regressive models for forecasting time series data
8. Should have solid experience in build anomaly detection models on time series data using various ML/DL techniques
9. Strong experience in analyzing time series data and finding trends
10. Should have knowledge in AIOps and in building models to reduce noisy alerts, automated root cause detection, self healing etc..
11. Systematic problem-solving approach coupled with a strong sense of ownership and drive.
12. Should have passion for playing with data and finding insights in data

Nice to Have
1. Nice to have experience with Azure Data Lake (ADLS) and Azure Machine Learning.
2. Nice to have exposure in App Dynamics or Splunk tools
3. Nice to have working experience in Reporting tools (Power BI/Grafana)
4. Ability to work comfortably in an agile environment, alongside development partners to ensure that platforms are designed for the utmost resilience, accuracy, stability and efficiency

B.E / B. Tech / MCA / Masters in computer science or any other equivalent experience is preferred.",3.6,"PK
3.6",Hyderabad,"Portland, OR",1001 to 5000 employees,2004,Company - Private,IT Services,Information Technology,₹10 to ₹50 billion (INR)
8,Data Scientist,"When everything's connected, how we connect is everything… and we'd like to connect with you too! We are looking for you to help us deliver exceptional customer experiences as a Data Scientist.
At TTEC Digital, we combine human insight and the speed of technology to transform our clients’ interactions with their customers. Advanced analytics of the customer experience and customer interactions is our expertise.
Check out our website below to learn more about what we do and how we help our clients.
What you’ll be doing
This person will be a part of our Global Data Science Center focused on helping our clients find and seize opportunities in their markets.

Support the development of consulting products such as proprietary customer experience scores and marketing optimization solutions
Maintain our stellar reputation with our clients and drive >80 client NPS
Leverage a mixture of data science methods such as SVM, neural nets, decision trees, and regression models to deliver proprietary uplift model solutions
Support the introduction and advancement of decision science throughout our contact center engagement
Recommend and introduce new methods where relevant
Resource Planning
Recommend required resources to managers
Align required resources to client schedules
Mentor data engineers and architects on requirements
Develop requirements and technical specifications documents for use by engineers

Delivery
Recommend project timelines to managers
Drive on-time delivery and identify and escalate risks to managers
Support attainment of annual goals for client satisfaction
Deliver your own solutions while collaborating on other projects

What you’ll bring to the role
Masters in Statistics, Economics, IE/OR, Computer Science, Applied Mathematics or related field is required; PhD is a plus
1-5 years' experience delivering advanced analytics solutions since graduate program
Ability to translate client requests into approach statements and project plans
Ability to work in a highly collaborative, team-oriented environment
Ability to identify effective, relevant statistical and/or mathematical methods to solve complex business problems
Expert at data wrangling both structured and unstructured data
Experience delivering solutions using regression modeling or machine learning techniques; experience with both is desired
Expert in developing and implementing predictive analytics solutions in one or more of the following languages: R or Python experience with SAS is desired
Experience delivering solutions using large datasets (multi-Gb or larger)
Experience in MS Office suite of products, especially Excel and Powerpoint
Ability to work within any modern big data environment (AWS, MS Azure, SAP Hana, etc.) is desired
Experience with text analytic or speech analytic is desired.
Experience with one or more modern social listening tools (Crimson Hexagon, TheySay, etc.) is desired
What skills you’ll need:
Excellent analytic and data-driven thinking skills
Strong communication skills and an ability to work successfully in a distributed workforce
Creative problem solving and an understanding of analytics workflows
Strong background in consulting a plus

About TTEC
We help global brands provide a great experience to their customers, build customer loyalty, and grow their business. We were founded on one guiding principle: customer experiences that are simple, inspired, and more human deliver lasting value for everyone. Your role brings that principle to life.",3.3,"TTEC
3.3",Hyderabad,"Englewood, CO",10000+ employees,1982,Company - Public,Staffing & Outsourcing,Business Services,₹100 to ₹500 billion (INR)
9,Data Scientist,"Hitachi Vantara combines technology, intellectual property and industry knowledge to deliver data-managing solutions that help enterprises improve their customers’ experiences, develop new revenue streams, and lower the costs of business. Hitachi Vantara elevates your innovation advantage by combining IT, operational technology (OT) and domain expertise. Come join our team and our employee-focused culture, and help drive our customers’ data to meaningful customer outcomes.

Responsibilities:
Lead data science and machine learning efforts in products and solutions involving IoT, Big Data, Cloud and microservices

The products and solutions are being designed using artificial intelligence and analytics into problems involving management and root cause analysis for IT operations, manufacturing and data centers to provide valuable insights and quantifiable RoI to end users
Mentor and guide data science team members as well as developers and QA engineers working on the products
Work with business managers to frame a problem, both mathematically and within the business context
Perform exploratory data analysis to gain a deeper understanding of the problem
Understand business data and how to use it appropriately in data analysis
Construct and fit statistical, machine learning, or optimization models using Spark and TensorFlow
Apply and develop appropriate advanced statistical, machine learning, and/or deep learning models and algorithms to classify structured or unstructured data
Collaborate with internal stakeholders to understand business challenges and develop analytical solutions to optimize business processes
Test performance of machine learning and deep learning models

Qualifications:
10 to 15 years’ overall experience designing, implementing and successfully delivering enterprise/SAAS product with analytics features
10+ years of experience in analytics, data science, data mining, machine learning or comparable product/consumer analytics role
Bachelor's degree in Computer Science, Operations Research or Math/Statistics
Experience in working with multi-dimensional data
Top notch communication skills to convey key insights from complex analysis, both oral and written
Experience in Spark MLLib, PySpark, NumPy/SciPy, TidyData
Experience with agile and Scrum
Ability to work with distributed teams in a collaborative and productive manner
Self-driven and motivated with the desire to work in a fast-paced, results-driven agile environment with varied responsibilities

Desired Skills:
Experience working with TensorFlow, Open CV, Deep learning experience and time series analysis
Exposure or experience in IoT/Industrial automation and/or DevOps experience",2.7,"Hitachi Vantara
2.7",Bengaluru,"Santa Clara, CA",5001 to 10000 employees,1989,Subsidiary or Business Segment,IT Services,Information Technology,Unknown / Non-Applicable
